"content_id","title","type","description","release_year","genres_array","production_countries","seasons","imdb_id","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","duration_num"
"6808b68c4295068585834acfd61ce4d80062b9091c93f0669ecb7a54aa24f3bf","Mission: Impossible","MOVIE","When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.","1996","['thriller', 'action']","['US']","","tt0117060","7.1","434149.0","49.231","7.0","110"
"68238a5625c5329da331e6ed1b4e3bbdcc4d86aab7f54ff9bfa41bf4e2726b45","Altered Minds","MOVIE","A family reunion goes awry when the oldest son makes the accusation that his dying father, a famed psychiatrist who also did work for the CIA, adopted his children for the purposes of psychological experimentation.","2015","['drama', 'thriller']","['US']","","tt2124959","6.0","682.0","2.823","4.4","106"
"6834f06a41f9d14dc847f487b41bbcbb42375a98c8eb828eaec091516414d1de","Another Time","MOVIE","Just because a journey leads you somewhere you didn't expect, doesn't mean you ended up in the wrong place.","2018","['drama', 'scifi', 'comedy', 'romance', 'fantasy', 'animation']","['US']","","tt3451984","4.6","1063.0","4.174","5.7","95"
"6842bb321f63aa1b16703caa1689d0ac525570c3fc5c9f36908f122ef6adffac","Tucked","MOVIE","An aging 80 year old drag queen forms an unlikely friendship with a younger queen, both struggling with their own issues of gender identity and mortality. As they discover more about each other, they realize how to truly be themselves.","2019","['drama']","['GB']","","tt6773126","6.8","815.0","3.797","7.2","80"
"684eed7a219b359b27a93d2ddb3abd7789278d0ee22c586492e602394b237c48","The Actors","MOVIE","During the run of a particularly awful interpretation of Richard III, the star, Anthony O'Malley, begins to frequent a rough pub to develop his character. He meets Barreller who he discovers owes someone he's never met a considerable sum of money. Seeing an opportunity to make some fast money, O'Malley convinces hapless extra, Tom, to meet Barreller as the debt collector.","2003","['comedy', 'crime', 'european']","['GB']","","tt0307919","5.9","1888.0","3.802","6.0","91"
"685f2e540f3f9a456410aad670e4150de34dbceb31807fd49ff862e676c3a854","Attack: The Battle for New Britain","MOVIE","War - Documentary film depicting the attack by Allied forces on the Japanese strong-holds of Arawe Beach and Cape Gloucester, New Britain, in the South Pacific theatre of the Second World War in 1943. -  Leo Genn, Burgess Meredith, Anthony Veiller","1944","['documentation', 'war', 'action']","['US']","","tt0185893","6.3","101.0","1.639","6.0","54"
"6864da21d105be6a2ff595f642e2a60c854b2b6d0367cf51abe7c36d422e3e49","Black Ink Crew New York","SHOW","Reality series chronicling the daily operations and staff drama at an African American-owned and operated tattoo shop in Harlem, New York.","2013","['reality']","['US']","10.0","tt2738096","5.0","495.0","11.162","8.268","42"
"686d60ce1de615611a427b7281ba7a7f63fdcccce3d0481715a548e9284acf87","Young Buffalo Bill","MOVIE","It's 1860 and the old Spanish land grants are being surveyed. Montez is after part of Don Regas' rancho and gets the surveyor to alter the boundary. But Don Regas still has the original grant written on a bandanna. Montez sends Indians after it but Bill Cody and Gabby fight them off and a wounded Gabby unknowingly ends up with the missing million dollar deed wrapped around his arm for a bandage.","1940","['western', 'drama', 'music', 'action']","['US']","","tt0033287","5.5","173.0","1.899","3.611","59"
"68ce4d1bf2930edc2689d80b2d8e7dd30f10b453c7cacaadbc16360361152a60","Fire from Below","MOVIE","Digging at a nearby cave, a careless industrialist unearths a vein of pure base Lithium and inadvertently brings it to the surface, where the Lithium combusts when coming into contact with water and begins to wreak havoc on the country side.","2009","['action', 'scifi', 'thriller']","['US']","","tt1137455","2.9","992.0","3.648","4.3","89"
"68d173e12997afcc08fb61b3ea17e2981be90f233e2ac8aa58bf2dc51a80a5b5","Dog","MOVIE","Two former Army Rangers are paired against their will on the road trip of a lifetime. Briggs (Channing Tatum) and Lulu (a Belgian Malinois) race down the Pacific Coast to get to a fellow soldier's funeral on time.","2022","['fantasy', 'animation', 'action', 'family', 'comedy', 'drama']","['US']","","tt11252248","6.5","38690.0","125.36","7.4","101"
"68df7a20deca9d42c2e06054d32874c1da4e41df405b071927f184464e6120d4","Paranormal Activity 2","MOVIE","Days after welcoming a newborn baby, Dan and Kristi Rey return home one day to find their house ransacked with seemingly no explanation. Their fear forces them to put in security cameras, which begin to capture strange activity around the house.","2010","['horror']","['US']","","tt1536044","5.7","106170.0","33.526","5.747","91"
"690fb25ed3ae3d032b849548073f9a692f74cafab32c53c0c63f5d2d79c35ea3","Blue","MOVIE","Based on true events- A young woman struggles to piece her world together after a botched suicide attempt.","2019","['comedy', 'drama']","['TR']","","tt6645236","5.8","506.0","1.25","4.0","112"
"691b130659af7eb27645c2bc661b60d658272513cb1bfd6fe1cd1a8ffb7e7e8b","Retired at 35","SHOW","Retired at 35 is an American sitcom on TV Land starring George Segal, Jessica Walter, Johnathan McClain, Josh McDermitt, Marissa Jaret Winokur and Ryan Michelle Bathe. It is the network's second original scripted series after Hot in Cleveland. The series premiered on January 19, 2011. On March 21, 2011, the series was renewed for a second season. The second season premiered on Tuesday June 26, 2012, at 10:00 pm ET/PT, and concluded on Wednesday, August 29, 2012.

On December 13, 2012, TV Land announced that they were not renewing Retired at 35 for another season and it was cancelled, making it the first TV Land original sitcom to be cancelled from the network.","2011","['comedy']","['US']","2.0","tt1570987","5.0","515.0","3.062","4.5","21"
"692b7bc9fbff5e8ce01b7a0df7b91c892ffffe0482116e562df84bacdcfcedbe","Man Camp","MOVIE","After losing their dad as kids, the 3 Mann boys return to the family cabin every year to remember him, but when they walk in on their mom with a secret fiance, their trip becomes a wild test to see if he's Mann enough to join the family.","2019","['comedy']","['US']","","tt6843538","5.5","199.0","2.692","5.9","94"
"6930a1cf5a664947b1cd8aa904a634b94a23026a1d12f9c18d2358fe34d563e8","Archie's Weird Mysteries","SHOW","Archie's Weird Mysteries is an American animated children's television program, based on the Archie comics. The series premise revolves around a Riverdale High physics lab gone awry, making the town of Riverdale a \"magnet\" for B-movie style monsters. The show is distributed as meeting the FCC's educational and informational children's programming requirements, and is used by commercial stations in the United States to meet this guideline. Produced by DIC Entertainment, the show was initially shown mornings on the PAX network, often with infomercials bookending the program. The following season, its repeats were syndicated to television stations throughout the US, as a way to comply with mandatory E/I regulations.","1999","['animation', 'fantasy', 'horror', 'scifi', 'comedy', 'family']","['US']","1.0","tt0229878","7.3","734.0","4.806","6.6","24"
"6969c166b43442b2abff8143ff1664f61f568530aadcb8908cfedbf0f92d2170","A.I. Artificial Intelligence","MOVIE","David, a robotic boy—the first of his kind programmed to love—is adopted as a test case by a Cybertronics employee and his wife. Though he gradually becomes their child, a series of unexpected circumstances make this life impossible for David.","2001","['drama', 'scifi']","['US']","","tt0212720","7.2","312416.0","29.28","7.039","146"
"6975a3ec2bdb3646e187b4eb234823c4887ad4490a278138dd14c05fc2d3d1b2","Saving Grace","MOVIE","A newly-elected Pope Leo XIV finds himself accidentally locked out of the Vatican. Unknown to the outside world, he winds up in an impoverished Italian village, where his adventures ultimately teach the Pope and his new friends some important lessons about friendship and self-esteem. Written by Chris DeSantis","1986","['drama', 'comedy']","['US']","","tt0091895","6.9","603.0","1.83","6.0","112"
"698e2fd1f2e2ec6f33d7b9dd1772a20ae4b77a068109c28aea435121ca391948","Hitler's Riches","MOVIE","Hitler's Riches examines how Hitler during World War II use his position to power to personally enrich himself. It looks at Hitler's will dictated during his final hours in the Führerbunker before his suicide and talks to the British officer who found it. It also discusses his life, his art, and his relationship with Eva Braun. It also examines the use of the Hitler image in modern day society.","2014","['documentation']","['US']","","tt5184530","6.9","65.0","0.934","6.7","46"
"698ee5099581273d4812b8c3cf6c5b826bc5c2a0b04e6c50bb88c4a422f88b2a","Seven Psychopaths","MOVIE","A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.","2012","['crime', 'comedy']","['GB', 'US']","","tt1931533","7.1","263384.0","12.157","6.801","110"
